Year,Candidate,Party,Popular vote,Result,%
1824,Andrew Jackson,Democratic-Republican,151271,loss,57.21012204
1824,John Quincy Adams,Democratic-Republican,113142,win,42.78987796
1828,Andrew Jackson,Democratic,642806,win,56.20392707
1828,John Quincy Adams,National Republican,500897,loss,43.79607293
1832,Andrew Jackson,Democratic,702735,win,54.57478905
1832,Henry Clay,National Republican,484205,loss,37.6036283
1832,William Wirt,Anti-Masonic,100715,loss,7.821582644
1836,Hugh Lawson White,Whig,146109,loss,10.00598542
1836,Martin Van Buren,Democratic,763291,win,52.27247202
1836,William Henry Harrison,Whig,550816,loss,37.72154257
1840,Martin Van Buren,Democratic,1128854,loss,46.94878676
1840,William Henry Harrison,Whig,1275583,win,53.05121324
1844,Henry Clay,Whig,1300004,loss,49.250523
1844,James Polk,Democratic,1339570,win,50.749477
1848,Lewis Cass,Democratic,1223460,loss,42.55222948
1848,Martin Van Buren,Free Soil,291501,loss,10.13847404
1848,Zachary Taylor,Whig,1360235,win,47.30929648
1852,Franklin Pierce,Democratic,1605943,win,51.01316828
1852,John P. Hale,Free Soil,155210,loss,4.930283235
1852,Winfield Scott,Whig,1386942,loss,44.05654848
1856,James Buchanan,Democratic,1835140,win,45.30608033
1856,John C. Frémont,Republican,1342345,loss,33.1399187
1856,Millard Fillmore,American,873053,loss,21.55400097
1860,Abraham Lincoln,Republican,1855993,win,39.69940846
1860,John Bell,Constitutional Union,590901,loss,12.63928267
1860,John C. Breckinridge,Southern Democratic,848019,loss,18.13899765
1860,Stephen A. Douglas,Northern Democratic,1380202,loss,29.52231122
1864,Abraham Lincoln,National Union,2211317,win,54.95151243
1864,George B. McClellan,Democratic,1812807,loss,45.04848757
1868,Horatio Seymour,Democratic,2708744,loss,47.33469473
1868,Ulysses Grant,Republican,3013790,win,52.66530527
1872,Horace Greeley,Liberal Republican,2834761,loss,44.07140636
1872,Ulysses Grant,Republican,3597439,win,55.92859364
1876,Rutherford Hayes,Republican,4034142,win,48.47162359
1876,Samuel J. Tilden,Democratic,4288546,loss,51.52837641
1880,James B. Weaver,Greenback,308649,loss,3.352343585
1880,James Garfield,Republican,4453337,win,48.36923406
1880,Winfield Scott Hancock,Democratic,4444976,loss,48.27842235
1884,Benjamin Butler,Anti-Monopoly,134294,loss,1.335838283
1884,Grover Cleveland,Democratic,4914482,win,48.88493303
1884,James G. Blaine,Republican,4856905,loss,48.31220781
