OBJECTID_1,OBJECTID,District,Route,Rte_SFX,County,PM_PFX,Postmile,PM_SFX,Descriptn,Back_pk_h,Back_pk_m,Back_AADT,Ahead_pk_h,Ahead_pk_m,Ahead_AADT,Lon_S_or_W,Lat_S_or_W,Lon_N_or_E,Lat_N_or_E
1,1,1,1, ,MEN, ,0, ,SONOMA/MENDOCINO COUNTY LINE, , , ,440,4650,4000,-123.5185026,38.75984264,-123.5185026,38.75984264
2,2,1,1, ,MEN, ,1.02, ,NORTH LIMITS GUALALA,440,4650,4000,370,3700,3100,-123.53189,38.77004592,-123.53189,38.77004592
3,3,1,1, ,MEN, ,5.09, ,FISH ROCK ROAD,320,3600,3100,210,2600,3100,-123.585411,38.80354931,-123.585411,38.80354931
4,4,1,1, ,MEN, ,14.692, ,"POINT ARENA, SOUTH CITY LIMITS",240,2600,2200,240,2850,2400,-123.6915134,38.90397338,-123.6915134,38.90397338
5,5,1,1, ,MEN, ,15.18, ,"POINT ARENA, RIVERSIDE DRIVE",250,2800,2400,250,2800,2600,-123.6924099,38.91091252,-123.6924099,38.91091252
6,6,1,1, ,MEN, ,15.74, ,"POINT ARENA, LAKE STREET",250,2800,2600,240,2800,2200,-123.7010328,38.91436972,-123.7010328,38.91436972
7,7,1,1, ,MEN, ,16.166, ,"POINT ARENA, NORTH CITY LIMITS",250,2800,2300,250,2800,2300,-123.7060199,38.91861866,-123.7060199,38.91861866
8,8,1,1, ,MEN, ,19.34, ,"MOUNTAIN VIEW ROAD, MANCHESTER, SOUTH",190,2500,2100,230,2300,1900,-123.6904001,38.95127812,-123.6904001,38.95127812
9,9,1,1, ,MEN, ,34.9, ,NORTH LIMITS ELK,190,1700,1300,190,1800,1300,-123.7243597,39.13906337,-123.7243597,39.13906337
10,10,1,1, ,MEN, ,40.273, ,JCT. RTE. 128 EAST,270,1800,3000,450,4000,1450,-123.7466572,39.19756219,-123.7466572,39.19756219
11,11,1,1, ,MEN, ,47.5, ,"LITTLE RIVER, AIRPORT ROAD",480,4200,3300,650,5200,4200,-123.7865403,39.26812472,-123.7865403,39.26812472
12,12,1,1, ,MEN, ,50.04, ,COMPTCHE/UKIAH ROADS,700,7200,6000,860,8500,7300,-123.7939532,39.2997389,-123.7939532,39.2997389
13,13,1,1, ,MEN,R,50.56, ,"MENDOCINO, JACKSON STREET",700,7500,5500,730,8200,7600,-123.7936418,39.30659533,-123.7934586,39.30661456
14,14,1,1, ,MEN,R,51.49, ,"MENDOCINO, LANSING STREET",1000,10200,8100,1000,10200,8900,-123.7996323,39.31879689,-123.7996323,39.31879689
15,15,1,1, ,MEN,R,55.78, ,NORTH LIMITS CASPAR,1100,11300,9300,1250,13000,11000,-123.8152306,39.37228032,-123.8152306,39.37228032
16,16,1,1, ,MEN, ,57.22, ,GIBNEY LANE,1350,14000,11000,1400,14200,11300,-123.8139356,39.3833265,-123.8139356,39.3833265
17,17,1,1, ,MEN, ,59.25, ,SIMPSON LANE,1700,16000,13300,1900,19000,16700,-123.808544,39.41239821,-123.8081094,39.41236682
18,18,1,1, ,MEN, ,59.803, ,JCT. RTE. 20 EAST,1900,19000,11000,1900,22000,4850,-123.8079086,39.42012428,-123.8079086,39.42012428
19,19,1,1, ,MEN, ,60.68, ,"FORT BRAGG, CYPRESS AVENUE",2000,24200,21300,1500,20300,17700,-123.8062837,39.43271373,-123.8061169,39.43269228
20,20,1,1, ,MEN, ,61.471, ,"FORT BRAGG, REDWOOD AVENUE",1500,20300,17700,1800,20000,17700,-123.8059764,39.44411248,-123.805975,39.44421979
21,21,1,1, ,MEN, ,62.36, ,"FORT BRAGG, NORTH CITY LIMITS",1400,14000,12100,1200,10100,8100,-123.8061018,39.45710698,-123.8061018,39.45710698
22,22,1,1, ,MEN, ,62.8, ,"AIRPORT ROAD, FORT BRAGG, NORTH",1200,10100,8100,1000,8200,6300,-123.8057402,39.46321295,-123.8057402,39.46321295
23,23,1,1, ,MEN,R,64.858, ,MAC KERRICHER STATE PARK,880,6100,4850,110,1800,1450,-123.7874011,39.48793046,-123.7873263,39.48788345
24,24,1,1, ,MEN, ,77.66, ,"WESTPORT, NORTH",180,1300,900,140,1800,1300,-123.7845857,39.64141026,-123.7845857,39.64141026
25,25,1,1, ,MEN, ,90.874, ,JCT. RTE. 211 NORTH,120,900,600,100,1100,550,-123.8315287,39.78035219,-123.8315287,39.78035219
26,26,1,1, ,MEN, ,105.501, ,"LEGGETT, JCT. RTE. 271",140,1200,800,120,1100,720,-123.7148061,39.86825871,-123.7148061,39.86825871
