"business id column","name","address","city","state","postal_code","latitude","longitude","phone_number"
"1000","HEUNG YUEN RESTAURANT","3279 22nd St","San Francisco","CA","94110","37.755282","-122.420493","-9999"
"100010","ILLY CAFFE SF_PIER 39","PIER 39  K-106-B","San Francisco","CA","94133","-9999","-9999","+14154827284"
"100017","AMICI'S EAST COAST PIZZERIA","475 06th St","San Francisco","CA","94103","-9999","-9999","+14155279839"
"100026","LOCAL CATERING","1566 CARROLL AVE","San Francisco","CA","94124","-9999","-9999","+14155860315"
"100030","OUI OUI! MACARON","2200 JERROLD AVE STE C","San Francisco","CA","94124","-9999","-9999","+14159702675"
"100036","Hula Truck (#2)","2 Marina Blvd","San Francisco","CA","94123","-9999","-9999","-9999"
"100039","GENKI CREPES & MINI MART","330 CLEMENT ST","San Francisco","CA","94118","-9999","-9999","+14155376414"
"100041","UNCLE LEE CAFE","3608 BALBOA ST","San Francisco","CA","94121","-9999","-9999","-9999"
"100055","Twirl and Dip","335 Martin Luther King Jr. Dr","San Francisco","CA","94118","-9999","-9999","+14155300260"
"100058","SF PITA HUB","475 06TH ST","San Francisco","CA","94103","-9999","-9999","+14155642006"
"100059","DUMPLING ALLEY","2512 CLEMENT ST","San Francisco","CA","94121","-9999","-9999","-9999"
"100069","Mission Blue","144 Leland Ave","San Francisco","CA","94134","-9999","-9999","-9999"
"100072","SUBWAY SANDWICHES #7307","2375 MARKET ST","San Francisco","CA","94114","-9999","-9999","+14155981866"
"100079","POSITIVE FOODS","475 06TH ST","San Francisco","CA","94103","-9999","-9999","+14155397209"
"100081","THE MATTERHORN RESTAURANT AND BAKERY","2323 VAN NESS AVE","San Francisco","CA","94109","-9999","-9999","+14155474029"
"100082","SLN CTRNG","103 HORNE Ave","San Francisco","CA","94124","-9999","-9999","+14155965620"
"100083","THE EPICUREAN TRADER","465 HAYES ST","San Francisco","CA","94102","-9999","-9999","+14155606092"
"100084","FRJTZ KITCHEN","475 06TH ST UNIT 15","San Francisco","CA","94103","-9999","-9999","+14155868272"
"100096","THE LITTLE CHIHUAHUA MEXICAN RESTAURANT","475 06TH ST K16","San Francisco","CA","94103","-9999","-9999","-9999"
"100097","GANGNAM BBQ","3251 20TH AVE 250B","San Francisco","CA","94132","-9999","-9999","+14150494183"
"100098","ZHONG SHAN RESTAURANT","2237 TARAVAL ST","San Francisco","CA","94116","-9999","-9999","+14155806898"
"100099","KEN KEE CAFE","2109 CLEMENT ST","San Francisco","CA","94121","-9999","-9999","+14155699118"
"100126","Lamas Peruvian Food Truck","Private Location","San Francisco","CA","-9999","-9999","-9999","-9999"
"100135","Hotel Whitcomb - Employee Kitchen","1231 Market St","San Francisco","CA","94103","-9999","-9999","-9999"
"100137","100137 Cloud Club","24 Willie Mays Plaza Suites Level","San Francisco","CA","94107","-9999","-9999","-9999"
"100142","Multi Service Center South","525 05th St","San Francisco","CA","94107","-9999","-9999","-9999"
"100145","Conchinita","2 Marina Blvd  Fort Mason","San Francisco","CA","94123","-9999","-9999","-9999"
"1002","BIG MOUTH BURGERS","3392 24th St","San Francisco","CA","94110","37.752158","-122.420362","-9999"
