"iid","vid"
"97975_20190725","103124"
"85986_20161011","103114"
"95754_20190327","103124"
"77005_20170429","103120"
"4794_20181030","103138"
"71440_20190401","103150"
"70708_20181218","103112"
"85594_20190325","103119"
"69962_20190711","103161"
"66517_20190524","103120"
"96775_20190327","103161"
"74866_20190117","103161"
"94465_20190321","103129"
"92044_20180703","103133"
"91067_20190930","103119"
"96784_20190617","103129"
"77681_20190404","103139"
"93431_20171211","103150"
"88799_20170918","103114"
"81235_20180411","103139"
"75429_20181213","103161"
"71999_20181015","103144"
"77005_20170429","103149"
"81802_20190326","103144"
"92459_20190315","103157"
"72169_20190326","103120"
"75406_20190814","103119"
"63619_20170131","103144"
"83439_20190715","103119"
"94013_20190606","103132"
"69501_20190909","103124"
"38231_20190816","103119"
"74524_20171025","103119"
"77750_20180814","103119"
"37171_20190909","103120"
"87167_20190403","103133"
"87793_20180105","103105"
"83687_20180925","103119"
"87761_20161012","103150"
"96592_20190313","103114"
"66715_20181129","103114"
"90149_20190501","103154"
"81802_20190326","103116"
"226_20190905","103133"
"86116_20190826","103144"
"75526_20181001","103139"
"87552_20171108","103162"
"69957_20190403","103124"
"79923_20190828","103121"
"84393_20190702","103142"
"72164_20181029","103103"
"72169_20190326","103149"
"87611_20170523","103144"
"91427_20190319","103105"
"94977_20180911","103119"
"93401_20190322","103149"
"68320_20190715","103133"
"81647_20170303","103139"
"78301_20190402","103139"
"92477_20171025","103144"
"71440_20190401","103109"
"87611_20170523","103103"
"1269_20190716","103154"
"91615_20190404","103144"
"92659_20190501","103119"
"37879_20180221","103132"
"94646_20190325","103127"
"66736_20180410","103154"
"93826_20180206","103103"
"89475_20190821","103161"
"63286_20190326","103119"
"82690_20171020","103105"
"91615_20190404","103120"
"82926_20190821","103119"
"94646_20190325","103109"
"63652_20190904","103133"
"81802_20190326","103124"
"87309_20190612","103132"
"86885_20190515","103103"
"81925_20170628","103156"
"96775_20190327","103154"
"77731_20190514","103105"
"75606_20190108","103103"
"69665_20190404","103161"
"93489_20180810","103116"
"86138_20190403","103154"
"79053_20190903","103124"
"89213_20190801","103133"
"80421_20190405","103129"
"92676_20190108","103149"
"92676_20190108","103119"
"69705_20190212","103120"
"91934_20190107","103120"
"70547_20190821","103157"
"89789_20190610","103144"
"91934_20190107","103119"
"80773_20190226","103109"
"85809_20171110","103154"
"92110_20170705","103149"
"75606_20190108","103157"
"90460_20190220","103105"
"95750_20190125","103139"
"84548_20190215","103127"
"89336_20190208","103105"
"87050_20190107","103124"
"80253_20190828","103142"
"88129_20190206","103116"
"98173_20190219","103156"
"75944_20190319","103129"
"5281_20190215","103112"
"69186_20190206","103119"
"88488_20190909","103144"
"85787_20190430","103149"
"91934_20190107","103144"
"17689_20170905","103119"
