CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
18022300,DISTURBANCE,04/18/2018 12:00:00 AM,22:17,DISORDERLY CONDUCT,3,09/06/2018 03:30:12 AM,"OREGON STREET &amp; MCGEE AVE
Berkeley, CA
(37.856572, -122.275241)",OREGON STREET & MCGEE AVE,Berkeley,CA
18026683,THEFT MISD. (UNDER $950),05/09/2018 12:00:00 AM,21:25,LARCENY,3,09/06/2018 03:30:13 AM,"200 UNIVERSITY AVE
Berkeley, CA
(37.865511, -122.309967)",200 UNIVERSITY AVE,Berkeley,CA
18038550,THEFT MISD. (UNDER $950),05/18/2018 12:00:00 AM,20:00,LARCENY,5,09/06/2018 03:30:09 AM,"2200 MILVIA ST
Berkeley, CA
(37.868574, -122.270415)",2200 MILVIA ST,Berkeley,CA
18014810,BURGLARY AUTO,03/13/2018 12:00:00 AM,08:50,BURGLARY - VEHICLE,2,09/06/2018 03:30:08 AM,"1200 SIXTH ST
Berkeley, CA
(37.881142, -122.30191)",1200 SIXTH ST,Berkeley,CA
18018643,ALCOHOL OFFENSE,03/31/2018 12:00:00 AM,13:29,LIQUOR LAW VIOLATION,6,09/06/2018 03:30:11 AM,"CENTER STREET &amp; SHATTUCK AVE
Berkeley, CA
(37.870308, -122.26805)",CENTER STREET & SHATTUCK AVE,Berkeley,CA
18044311,VANDALISM,08/07/2018 12:00:00 AM,10:46,VANDALISM,2,09/06/2018 03:30:10 AM,"2300 SHATTUCK AVE
Berkeley, CA
(37.867176, -122.267802)",2300 SHATTUCK AVE,Berkeley,CA
18090660,IDENTITY THEFT,04/04/2018 12:00:00 AM,14:00,FRAUD,3,09/06/2018 03:30:12 AM,"1000 EUCLID AVE
Berkeley, CA
(37.891594, -122.264883)",1000 EUCLID AVE,Berkeley,CA
18091024,THEFT MISD. (UNDER $950),06/27/2018 12:00:00 AM,13:40,LARCENY,3,09/06/2018 03:30:13 AM,"1500 HARMON ST
Berkeley, CA
(37.848812, -122.278043)",1500 HARMON ST,Berkeley,CA
18015688,VEHICLE STOLEN,03/17/2018 12:00:00 AM,02:00,MOTOR VEHICLE THEFT,6,09/06/2018 03:30:08 AM,"CEDAR STREET &amp; EUCLID AVE
Berkeley, CA
(37.879467, -122.261062)",CEDAR STREET & EUCLID AVE,Berkeley,CA
18029899,ASSAULT/BATTERY MISD.,05/26/2018 12:00:00 AM,07:35,ASSAULT,6,09/06/2018 03:30:13 AM,"2700 SACRAMENTO ST
Berkeley, CA
(37.858433, -122.280183)",2700 SACRAMENTO ST,Berkeley,CA
18015583,BURGLARY AUTO,03/16/2018 12:00:00 AM,18:15,BURGLARY - VEHICLE,5,09/06/2018 03:30:08 AM,"1500 SHATTUCK AVE
Berkeley, CA
(37.880227, -122.26936)",1500 SHATTUCK AVE,Berkeley,CA
18036241,THEFT MISD. (UNDER $950),06/25/2018 12:00:00 AM,23:47,LARCENY,1,09/06/2018 03:30:13 AM,"2100 UNIVERSITY AVE
Berkeley, CA
(37.872175, -122.267835)",2100 UNIVERSITY AVE,Berkeley,CA
18020810,ASSAULT/BATTERY FEL.,04/11/2018 12:00:00 AM,13:40,ASSAULT,3,09/06/2018 03:30:12 AM,"2900 COLLEGE AVE
Berkeley, CA
(37.858356, -122.253179)",2900 COLLEGE AVE,Berkeley,CA
