,Primary completion rate: Male: % of relevant age group: 2015,Primary completion rate: Female: % of relevant age group: 2015,Lower secondary completion rate: Male: % of relevant age group: 2015,Lower secondary completion rate: Female: % of relevant age group: 2015,Youth literacy rate: Male: % of ages 15-24: 2005-14,Youth literacy rate: Female: % of ages 15-24: 2005-14,Adult literacy rate: Male: % ages 15 and older: 2005-14,Adult literacy rate: Female: % ages 15 and older: 2005-14,Students at lowest proficiency on PISA: Mathematics: % of 15 year-olds: 2015,Students at lowest proficiency on PISA: Reading: % of 15 year-olds: 2015,Students at lowest proficiency on PISA: Science: % of 15 year-olds: 2015,Population: millions: 2016,Surface area: sq. km thousands: 2016,Population density: people per sq. km: 2016,"Gross national income, Atlas method: $ billions: 2016","Gross national income per capita, Atlas method: $: 2016",Purchasing power parity gross national income: $ billions: 2016,per capita: $: 2016,Gross domestic product: % growth : 2016,per capita: % growth: 2016,Prevalence of smoking: Male: % of adults: 2015,Prevalence of smoking: Female: % of adults: 2015,"Incidence of tuberculosis: per 100,000 people: 2015",Prevalence of diabetes: % of population ages 20 to 79: 2015,Incidence of HIV: Total: % of uninfected population ages 15-49: 2015,Prevalence of HIV: Total: % of population ages 15-49: 2015,Prevalence of HIV: Women's share of population ages 15+ living with HIV: %: 2015,"Prevalence of HIV: Youth, Male: % of population ages 15-24: 2015","Prevalence of HIV: Youth, Female: % of population ages 15-24: 2015",Antiretroviral therapy coverage: % of people living with HIV: 2015,"Cause of death: Communicable diseases and maternal, prenatal, and nutrition conditions: % of population: 2015",Cause of death: Non-communicable diseases: % of population: 2015,Cause of death: Injuries: % of population: 2015,Access to an improved water source: % of population: 1990,Access to an improved water source: % of population: 2015,Access to improved sanitation facilities: % of population: 1990,Access to improved sanitation facilities: % of population: 2015,Child immunization rate: Measles: % of children ages 12-23 months: 2015,Child immunization rate: DTP3: % of children ages 12-23 months: 2015,Children with acute respiratory infection taken to health provider: % of children under age 5 with ARI: 2009-2016,Children with diarrhea who received oral rehydration and continuous feeding: % of children under age 5 with diarrhea: 2009-2016,Children sleeping under treated bed nets: % of children under age 5: 2009-2016,Children with fever receiving antimalarial drugs: % of children under age 5 with fever: 2009-2016,Tuberculosis: Treatment success rate: % of new cases: 2014,Tuberculosis: Cases detection rate: % of new estimated cases: 2015
Afghanistan,,,,,62.0,32.0,45.0,18.0,,,,34.7,652.9,53.0,19.9,580.0,65.8,1900.0,2.2,-0.5,,,189.0,8.8,0.01,0.1,29.0,0.1,0.1,5.0,39.0,42.0,18.0,21.0,55.0,21.0,32.0,68.0,78.0,62.0,41.0,4.6,11.8,87.0,58.0
Albania,108.0,105.0,97.0,97.0,99.0,99.0,98.0,96.0,26.0,7.0,2.0,2.9,28.8,105.0,12.2,4250.0,34.2,11880.0,3.5,3.6,51.0,8.0,19.0,10.3,,,,,,,4.0,92.0,4.0,,95.0,78.0,93.0,98.0,98.0,70.0,63.0,,,88.0,76.0
Algeria,106.0,105.0,68.0,85.0,96.0,92.0,83.0,68.0,51.0,11.0,4.0,40.6,2381.7,17.0,173.5,4270.0,597.9,14720.0,3.7,1.8,,,75.0,7.5,0.01,0.1,46.0,0.1,0.1,90.0,16.0,74.0,10.0,92.0,84.0,80.0,88.0,95.0,95.0,66.0,42.0,,,88.0,80.0
American Samoa,,,,,,,,,,,,0.1,0.2,278.0,,,,,1.1,0.9,,,8.0,,,,,,,,,,,94.0,100.0,61.0,63.0,,,,,,,,87.0
Andorra,,,,,,,,,,,,0.1,0.5,164.0,,,,,,,37.0,28.0,7.0,8.5,,,,,,,,,,100.0,100.0,100.0,100.0,96.0,97.0,,,,,83.0,87.0
Angola,,,,,79.0,67.0,82.0,60.0,,,,28.8,1246.7,23.0,99.0,3440.0,179.3,6220.0,0.0,-3.3,,,370.0,4.1,0.19,2.2,60.0,0.5,0.9,29.0,62.0,27.0,11.0,46.0,49.0,22.0,52.0,55.0,64.0,,,25.9,28.3,34.0,64.0
Antigua and Barbuda,87.0,82.0,88.0,94.0,,,98.0,99.0,,,,0.1,0.4,229.0,1.4,13400.0,2.2,21840.0,4.4,3.3,,,8.0,13.6,,,,,,,12.0,80.0,8.0,97.0,98.0,75.0,,98.0,99.0,,,,,67.0,87.0
Argentina,102.0,101.0,88.0,91.0,99.0,99.0,98.0,98.0,27.0,3.0,1.0,43.8,2780.4,16.0,524.5,11960.0,854.0,19480.0,-2.3,-3.3,30.0,18.0,25.0,6.0,0.02,0.4,32.0,0.2,0.1,64.0,12.0,81.0,7.0,94.0,99.0,87.0,96.0,89.0,94.0,94.0,59.0,,,52.0,87.0
Armenia,98.0,100.0,,,100.0,100.0,100.0,100.0,,,,2.9,29.7,103.0,11.0,3760.0,26.3,9000.0,0.2,-0.1,52.0,2.0,41.0,6.4,0.03,0.2,20.0,0.1,0.1,26.0,3.0,93.0,4.0,91.0,100.0,90.0,90.0,97.0,94.0,57.0,77.0,,,78.0,89.0
Aruba,101.0,101.0,95.0,103.0,99.0,99.0,97.0,97.0,,,,0.1,0.2,582.0,,,,,,,,,12.0,11.7,,,,,,,,,,91.0,98.0,99.0,98.0,,,,,,,,87.0
Australia,,,,,,,,,8.0,1.0,1.0,24.1,7741.2,3.0,1313.0,54420.0,1109.2,45970.0,2.8,1.3,17.0,13.0,6.0,5.1,0.01,0.2,10.0,0.1,0.1,90.0,5.0,90.0,6.0,100.0,100.0,100.0,100.0,91.0,93.0,,,,,79.0,87.0
Austria,102.0,100.0,97.0,95.0,,,,,8.0,2.0,0.0,8.7,83.9,106.0,395.6,45230.0,437.3,49990.0,1.5,0.2,36.0,35.0,8.0,6.9,,,,,,,2.0,92.0,6.0,100.0,100.0,100.0,100.0,96.0,98.0,,,,,74.0,87.0
Azerbaijan,105.0,102.0,88.0,84.0,100.0,100.0,100.0,100.0,,,,9.8,86.6,118.0,46.5,4760.0,157.4,16130.0,-3.1,-4.2,47.0,0.0,69.0,6.5,0.02,0.2,29.0,0.1,0.1,28.0,10.0,86.0,5.0,69.0,87.0,,89.0,98.0,96.0,,62.0,,,83.0,81.0
"Bahamas, The",,,,,,,,,,,,0.4,13.9,39.0,8.2,21020.0,8.6,22090.0,0.3,-0.9,,,18.0,13.2,0.23,3.2,35.0,1.8,1.2,37.0,17.0,74.0,9.0,,98.0,,92.0,94.0,95.0,,,,,84.0,87.0
Bahrain,97.0,100.0,101.0,97.0,99.0,98.0,96.0,92.0,,,,1.4,0.8,1848.0,31.2,22750.0,61.3,44690.0,2.9,0.2,49.0,8.0,18.0,19.6,,,,,,,6.0,84.0,9.0,95.0,100.0,99.0,99.0,99.0,98.0,,,,,44.0,87.0
Bangladesh,90.0,107.0,62.0,73.0,80.0,85.0,64.0,57.0,,,,163.0,147.6,1252.0,216.3,1330.0,617.1,3790.0,7.1,6.0,40.0,1.0,225.0,8.3,0.01,0.1,34.0,0.1,0.1,15.0,25.0,67.0,8.0,68.0,87.0,34.0,61.0,88.0,94.0,42.0,66.0,,5.0,93.0,57.0
Barbados,92.0,99.0,,,,,,,,,,0.3,0.4,663.0,4.2,14830.0,4.6,16070.0,1.6,1.3,13.0,1.0,0.0,13.6,0.12,1.6,31.0,0.9,0.6,43.0,13.0,83.0,4.0,96.0,100.0,80.0,96.0,96.0,97.0,,,,,100.0,87.0
Belarus,98.0,97.0,110.0,109.0,100.0,100.0,100.0,99.0,,,,9.5,207.6,47.0,53.2,5600.0,163.6,17210.0,-2.6,-2.8,46.0,11.0,55.0,5.3,0.1,0.6,45.0,0.2,0.3,20.0,2.0,89.0,9.0,100.0,100.0,95.0,94.0,99.0,99.0,93.0,61.0,,,88.0,72.0
Belgium,87.0,91.0,95.0,98.0,,,,,7.0,1.0,0.0,11.3,30.5,375.0,475.0,41860.0,522.1,46010.0,1.2,0.5,27.0,20.0,9.0,5.1,,,,,,,8.0,86.0,7.0,100.0,100.0,100.0,100.0,96.0,99.0,,,,,81.0,87.0
Belize,105.0,104.0,63.0,73.0,,,,,,,,0.4,23.0,16.0,1.6,4410.0,2.9,8000.0,-0.8,-2.9,,,25.0,16.5,0.08,1.5,48.0,0.5,0.6,46.0,18.0,66.0,16.0,73.0,100.0,76.0,91.0,96.0,94.0,82.0,43.0,,,35.0,87.0
Benin,83.0,73.0,50.0,37.0,55.0,31.0,41.0,18.0,,,,10.9,114.8,96.0,8.9,820.0,23.6,2170.0,4.0,1.1,18.0,1.0,60.0,0.8,0.07,1.1,58.0,0.2,0.4,49.0,52.0,37.0,10.0,57.0,78.0,7.0,20.0,75.0,79.0,23.0,33.0,72.7,25.9,89.0,61.0
Bermuda,90.0,88.0,69.0,83.0,,,,,,,,0.1,0.1,1307.0,,,,,,,,,0.0,13.1,,,,,,,,,,,,,,,,,,,,100.0,
Bhutan,94.0,104.0,77.0,85.0,90.0,84.0,66.0,48.0,,,,0.8,38.4,21.0,2.0,2510.0,6.4,8070.0,6.2,4.8,,,155.0,9.3,,,,,,,23.0,68.0,10.0,72.0,100.0,19.0,50.0,97.0,99.0,74.0,62.0,,,90.0,80.0
Bolivia,91.0,90.0,90.0,91.0,99.0,99.0,97.0,92.0,,,,10.9,1098.6,10.0,33.4,3070.0,77.2,7090.0,4.3,2.7,31.0,17.0,117.0,7.5,0.02,0.3,31.0,0.2,0.1,29.0,23.0,62.0,15.0,68.0,90.0,28.0,50.0,99.0,99.0,62.0,,,,83.0,62.0
Bosnia and Herzegovina,,,,,100.0,100.0,100.0,97.0,,,,3.5,51.2,69.0,17.2,4880.0,42.7,12140.0,2.0,2.5,47.0,30.0,37.0,9.9,,,,,,,2.0,94.0,4.0,97.0,100.0,,95.0,83.0,82.0,87.0,55.0,,,77.0,77.0
Botswana,98.0,101.0,86.0,87.0,96.0,99.0,87.0,89.0,,,,2.3,581.7,4.0,14.9,6610.0,36.9,16380.0,2.9,1.0,,,356.0,5.6,0.94,22.2,57.0,3.9,9.8,78.0,49.0,42.0,9.0,92.0,96.0,39.0,63.0,97.0,95.0,,,,,77.0,62.0
Brazil,,,,,98.0,99.0,91.0,92.0,44.0,7.0,4.0,207.7,8515.8,25.0,1836.0,8840.0,3075.5,14810.0,-3.6,-4.4,19.0,11.0,41.0,10.4,0.04,0.6,36.0,0.3,0.2,55.0,14.0,73.0,13.0,89.0,98.0,67.0,83.0,99.0,96.0,,,,,71.0,87.0
Brunei Darussalam,102.0,104.0,104.0,104.0,99.0,100.0,97.0,95.0,,,,0.4,5.8,80.0,16.1,38520.0,34.8,83250.0,-2.5,-3.8,29.0,3.0,58.0,13.7,,,,,,,13.0,80.0,7.0,,,,,96.0,99.0,,,,,65.0,87.0
Bulgaria,98.0,98.0,50.0,42.0,98.0,98.0,99.0,98.0,21.0,8.0,3.0,7.1,111.0,66.0,53.2,7470.0,135.6,19020.0,3.4,4.2,42.0,28.0,24.0,5.9,,,,,,,2.0,95.0,3.0,100.0,99.0,85.0,86.0,92.0,91.0,,,,,86.0,96.0
Burkina Faso,61.0,63.0,28.0,26.0,57.0,44.0,44.0,26.0,,,,18.6,274.2,68.0,11.9,640.0,31.3,1680.0,5.9,2.8,36.0,5.0,52.0,2.2,0.05,0.8,61.0,0.3,0.4,55.0,56.0,33.0,12.0,44.0,82.0,8.0,20.0,88.0,91.0,56.0,33.0,75.3,49.2,81.0,60.0
Burundi,58.0,66.0,35.0,30.0,90.0,88.0,89.0,85.0,,,,10.5,27.8,410.0,2.9,280.0,8.1,770.0,-0.6,-3.7,,,122.0,2.7,0.02,1.0,60.0,0.3,0.3,54.0,57.0,31.0,12.0,69.0,76.0,42.0,48.0,93.0,94.0,55.0,43.0,53.8,25.4,91.0,51.0
Cabo Verde,100.0,104.0,69.0,84.0,98.0,98.0,90.0,80.0,,,,0.5,4.0,134.0,1.6,2970.0,3.4,6220.0,3.9,2.6,22.0,4.0,139.0,2.3,0.06,1.0,54.0,0.3,0.5,42.0,23.0,68.0,10.0,80.0,92.0,34.0,72.0,92.0,93.0,,,,,92.0,37.0
Cambodia,94.0,96.0,47.0,49.0,88.0,86.0,83.0,66.0,,,,15.8,181.0,89.0,17.9,1140.0,55.3,3510.0,6.9,5.2,44.0,3.0,380.0,3.0,0.01,0.6,53.0,0.1,0.2,74.0,28.0,61.0,11.0,23.0,76.0,3.0,42.0,81.0,89.0,69.0,52.0,,0.3,93.0,59.0
Cameroon,78.0,70.0,46.0,45.0,85.0,76.0,78.0,65.0,,,,23.4,475.4,50.0,28.2,1200.0,76.1,3250.0,4.5,1.8,44.0,1.0,212.0,6.5,0.36,4.5,59.0,1.1,1.9,27.0,55.0,34.0,10.0,51.0,76.0,40.0,46.0,79.0,84.0,28.0,39.0,54.8,38.2,84.0,53.0
Canada,,,,,,,,,4.0,0.0,0.0,36.3,9984.7,4.0,1584.3,43660.0,1575.4,43420.0,1.5,0.2,18.0,12.0,5.0,7.4,,,,,,,6.0,88.0,6.0,100.0,100.0,100.0,100.0,90.0,91.0,,,,,82.0,90.0
Cayman Islands,,,,,99.0,99.0,99.0,99.0,,,,0.1,0.3,253.0,,,,,,,,,13.0,13.1,,,,,,,,,,,97.0,96.0,96.0,,,,,,,80.0,87.0
Central African Republic,55.0,34.0,17.0,8.0,49.0,27.0,51.0,24.0,,,,4.6,623.0,7.0,1.7,370.0,3.2,700.0,4.5,3.4,,,391.0,6.3,0.24,3.7,59.0,1.0,1.6,24.0,60.0,30.0,10.0,59.0,69.0,15.0,22.0,49.0,47.0,30.0,38.0,36.4,34.1,70.0,55.0
Chad,46.0,30.0,25.0,10.0,55.0,48.0,48.0,30.0,,,,14.5,1284.0,11.0,10.4,720.0,28.2,1950.0,-7.0,-9.9,,,152.0,5.7,0.1,2.0,59.0,0.4,0.7,36.0,66.0,25.0,10.0,40.0,51.0,8.0,12.0,62.0,55.0,26.0,29.0,36.4,26.9,68.0,54.0
Channel Islands,,,,,,,,,,,,0.2,0.2,866.0,,,,,,,,,,4.3,,,,,,,,,,,,,,,,,,,,,
Chile,95.0,95.0,93.0,94.0,99.0,99.0,96.0,96.0,23.0,1.0,1.0,17.9,756.1,24.0,242.3,13530.0,416.8,23270.0,1.6,0.8,40.0,36.0,16.0,10.0,0.02,0.3,4.0,0.2,0.1,87.0,9.0,84.0,7.0,90.0,99.0,85.0,99.0,96.0,96.0,,,,,58.0,87.0
China,93.0,91.0,98.0,100.0,100.0,100.0,97.0,93.0,6.0,2.0,1.0,1378.7,9562.9,147.0,11393.6,8260.0,21366.1,15500.0,6.7,6.1,48.0,2.0,67.0,9.8,,,,,,,4.0,89.0,7.0,67.0,96.0,48.0,77.0,99.0,99.0,,,,,94.0,87.0
Colombia,101.0,100.0,73.0,83.0,98.0,99.0,94.0,94.0,35.0,3.0,2.0,48.7,1141.7,44.0,307.4,6320.0,676.8,13910.0,2.0,1.1,16.0,6.0,31.0,10.0,0.04,0.5,27.0,0.3,0.2,,11.0,73.0,17.0,88.0,91.0,69.0,81.0,94.0,91.0,65.0,52.0,,,76.0,80.0
Comoros,74.0,79.0,47.0,49.0,87.0,88.0,82.0,73.0,,,,0.8,1.9,428.0,0.6,760.0,1.2,1520.0,2.2,-0.1,23.0,6.0,35.0,9.9,,,,,,,48.0,41.0,12.0,90.0,90.0,18.0,36.0,81.0,80.0,39.0,54.0,41.1,26.7,94.0,56.0
