parent,child
75.43,73.2
75.43,69.2
75.43,69.0
75.43,69.0
73.66,73.5
73.66,72.5
73.66,65.5
73.66,65.5
72.06,71.0
72.06,68.0
72.06,70.5
72.06,68.5
72.06,67.0
72.06,64.5
72.06,63.0
69.09,72.0
69.09,69.0
69.09,68.0
69.09,66.5
69.09,62.5
69.09,62.5
73.72,69.5
73.72,76.5
73.72,74.0
73.72,73.0
73.72,73.0
73.72,70.5
73.72,64.0
72.91,70.5
72.91,68.0
72.91,66.0
72.89,66.0
72.37,65.5
70.48,74.0
70.48,70.0
70.48,68.0
70.48,67.0
70.48,67.0
70.48,66.0
70.48,63.5
70.48,63.0
69.94,65.0
72.68,71.0
72.68,62.0
72.68,68.0
72.68,67.0
72.41,71.0
72.41,70.5
72.41,66.7
71.6,72.0
71.6,70.5
71.6,70.2
71.6,70.2
71.6,69.2
71.6,68.7
71.6,66.5
71.6,64.5
71.6,63.5
71.33,74.0
71.33,73.0
71.33,71.5
71.33,62.5
71.33,66.5
71.33,62.3
71.06,66.0
71.06,64.5
71.06,64.0
70.62,62.7
73.61,73.2
73.61,73.0
73.61,72.7
73.61,70.0
73.61,69.0
73.61,68.5
73.61,68.0
73.61,66.0
72.72,73.0
72.72,68.5
72.72,68.0
72.18,73.0
72.18,71.0
72.18,67.0
71.1,74.2
71.1,70.5
71.1,69.5
71.1,66.0
71.1,65.5
71.1,65.0
71.1,65.0
71.37,65.5
70.56,66.0
70.56,63.0
70.02,70.5
70.02,70.5
70.02,69.0
70.02,65.0
70.02,63.0
70.02,69.0
70.02,67.0
70.02,63.0
70.02,73.0
70.02,67.0
70.02,70.5
70.02,70.0
70.02,66.5
70.02,63.0
70.54,67.5
70.54,67.2
70.54,66.7
69.48,64.0
69.73,71.0
69.73,70.0
69.73,70.0
69.73,66.0
69.73,65.0
69.73,65.0
69.48,74.0
69.48,72.0
69.48,69.0
69.48,67.5
69.48,63.5
69.48,72.0
69.48,71.5
69.48,71.5
69.48,70.0
69.48,68.0
68.94,65.7
72.76,78.0
72.76,74.0
72.76,73.0
72.76,72.0
72.76,67.0
71.68,73.2
71.68,73.0
71.68,69.0
71.68,67.0
71.14,70.0
71.14,67.0
71.14,67.0
71.14,66.5
71.14,70.0
71.14,69.0
71.14,68.5
71.14,66.0
71.14,64.5
71.14,63.0
71.14,71.0
71.14,67.0
71.14,76.0
71.14,72.0
71.14,71.0
71.14,66.0
71.14,66.0
71.22,70.5
70.87,72.0
70.87,72.0
70.87,71.0
70.87,69.0
