"id","followers","genres","name","popularity"
"55CXG5KDJpRYwBopfYAJHa",21756,"['country blues', 'country rock', 'piedmont blues']","Jorma Kaukonen",40
"08mjMUUjyTchMHCW7evc3R",640993,"['turkish pop']","Hande Yener",62
"3Ebn7mKYzD0L3DaUB1gNJZ",161509,"['celtic', 'irish folk']","Christy Moore",56
"7GfaHcpmNcrcHoyGnOBsAz",9578,"['kindermusik', 'kleine hoerspiel']","Die Biene Maja",56
"1DYXGLnfNDt8mO2aK9k83j",48876,"['opm', 'vispop']","Jay-R Siaboc",39
"5wfKP70B1SjI045dboOJIT",2262,"['classic mandopop']","錦繡二重唱",32
"5krkohEVJYw0qoB5VWwxaC",512861,"['album rock', 'alternative rock', 'blues rock', 'classic rock', 'country rock', 'hard rock', 'jam band', 'mellow gold', 'pop rock', 'rock', 'roots rock', 'southern rock']","The Black Crowes",66
"3IhWQSrLj8EJjdvjFTpCyo",372774,"['country', 'country rock', 'oklahoma country']","Vince Gill",65
"65Sh6fBb85Hm3uLuETK3Ux",494,"['trondersk musikk']","Dag Ingebrigtsen",43
"3vbKDsSS70ZX9D2OcvbZmS",1224804,"['alternative rock', 'anti-folk', 'indie rock', 'modern rock', 'permanent wave', 'rock']","Beck",71
"2DnqqkzzDKm3vAoyHtn8So",486402,"['country', 'country road', 'pop rock']","Uncle Kracker",67
"2wUjUUtkb5lvLKcGKsKqsR",8717631,"['alt z', 'canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'r&b']","Alessia Cara",81
"0GxxkBLH2uLa4b3URWudGb",420758,"['indonesian pop']","Brisia Jodie",59
"25r01VNcrWNBRPKs7YyaNd",3002,"['icelandic rock']","Tappi Tíkarrass",12
"5SpCinnCUWz9M6EcD0TAeO",56301,"['russian chanson']","Aleksei Bryantsev",46
"2YnfSATOB2uSfoyltK0uyq",111,"['western swing']","Ted Daffan's Texans",7
"02NfyD6AlLA12crYzw5YcR",979413,"['alternative metal', 'alternative rock', 'art rock', 'blues rock', 'funk metal', 'funk rock', 'grunge', 'hard rock', 'nu metal', 'permanent wave', 'rap rock', 'rock']","Jane's Addiction",61
"74eY8wbrhhVD7pACbBHwHw",210356,"['french indie pop']","Imany",61
"0W8edGiwAsv6HXF0Kyc2V9",211250,"['album rock', 'danish metal', 'death metal', 'doom metal', 'hard rock', 'metal', 'rock', 'thrash metal']","Mercyful Fate",48
"6bHSJldq5J4lYowHOm9OOX",24605,"['adult standards', 'deep adult standards', 'easy listening', 'lounge']","Eddie Fisher",37
"6DK3E5dh7jJrKyAHfucWBB",3197,"[]","The Law",54
"5Oc5ZrvBkHIjBjTu7Ta8Vt",32874,"['afrikaans']","4Werke",33
"074c96SFGJ7WfW7ykczDHr",46482,"['pop punk', 'punk', 'skate punk', 'texas pop punk', 'texas punk']","Fenix TX",45
"4fvoJoY1YqJcRBLMdDFiFm",2899,"['classic danish pop', 'dansktop']","de gyldne løver",29
"6MF9fzBmfXghAz953czmBC",1912753,"['dance pop', 'edm', 'pop', 'pop rap']","Taio Cruz",75
"7CtXDuxQ1KjFQWntoRdQlw",148,"[]","Darina Lasciaková",1
"464j3SBqbOebKrmdnBsWtU",229,"['detske pesnicky']","Richard Čanaky",46
"1w2P5nNsO5W7FYq2Oui0cM",49954,"['afro soul', 'amapiano', 'south african pop']","De Mthuda",51
"2taCySpDIEEa2mvo2k7xkH",110272,"[""canzone d'autore"", 'canzone genovese', 'classic italian pop', 'italian adult pop']","Gino Paoli",54
"55DqEEaOVrdHFkOJdJMoow",0,"[]","Михаил Белчев",1
"7y33enVLfDvft6HGNmcxdV",1051416,"['bolero', 'bolero mexicano', 'mariachi', 'ranchera']","Pedro Infante",64
"0Uxe5OQyuew2Mhb6hF76Bk",5957,"['emo rap', 'phonk', 'wave']","GRXGVR",44
"43CscN9BMaLKwgyP8XlSmW",20934,"['classic polish pop', 'poezja spiewana', 'polish pop', 'polish rock']","Stanisław Soyka",42
"0pTxCwjrb9mfMx8fVgOT8X",103902,"['cumbia', 'regional mexican']","Chicos de Barrio",56
"0BjUTtTzgWxoQkbGjz4NmZ",2234,"['historic orchestral performance', 'orchestral performance']","Ferenc Fricsay",46
"6cAXmjYOHC2R7jLrs96KTZ",386301,"['axe', 'carimbo', 'forro']","Mastruz Com Leite",55
"4KgmIKUkzF8NnRfmW6YA8P",3809,"['classic finnish pop', 'classic finnish rock', 'classic iskelma', 'iskelma']","Taiska",33
"6vjdSVEAtbHLzrVbyLeGVn",1464,"['deep disco', 'italian disco']","Azoto",27
"4wck1fvaBpmJNFaeDT1Laa",69339,"['classic polish pop', 'polish pop']","Czerwone Gitary",46
"6cHQUDAPGKRE2NbVjBlOcz",230657,"['bossa nova', 'brazilian rock', 'jovem guarda', 'mpb', 'samba', 'tropicalia', 'velha guarda']","Erasmo Carlos",56
"30iOgrPV86QMnMsPOJYHOJ",20310,"['chilean indie', 'chilean rock', 'nueva cancion']","Mauricio Redoles",31
"7aKldvGENbL4bj8TCWHuhT",126485,"['chanson', 'french pop', 'ye ye']","Michel Polnareff",53
"3Qs1EAnyqWLaNqk0wHS63M",4463,"['sleep', 'water']","Rain Sound Studio",58
"23hRv3SqLMrj4i3b3tfUu4",3962,"['cool jazz', 'hard bop', 'jazz saxophone']","Paul Gonsalves",23
"1KZdpVFl5PG1xZ213r7aFO",1076,"['italian alternative']","Rossofuoco",38
"1yP1EbAX7oCvKI7j7PxzGg",170803,"['grupera', 'mexican rock-and-roll']","Yndio",52
"6rqlONGmPuP2wJVSfliLBI",474547,"['german hip hop', 'german pop', 'german rock']","Peter Fox",62
"1ZcvF2meiXi5UPDJWxrKR5",83276,"['copla', 'flamenco', 'rumba']","Lola Flores",43
"13M1OXRslYiaRoeaUx75uY",179963,"['filmi', 'tamil pop', 'tollywood']","Achu",45
