"id","name","popularity","duration_ms","artists","id_artists","danceability","energy","key","loudness","speechiness","acousticness","instrumentalness","liveness","valence","tempo","release_year","release_month","release_day"
269,"blun7 a swishland",63,167760,"['tha Supreme']","['19i93sA0D7yS9dYoVNBqAA']",0.692,0.792,7,-5.984,0.245,0.13,0,0.255,0.566,129.883,"2019","11","15"
27504,"Que Me Perdone Tu Señora",42,150640,"['Manoella Torres']","['4JRKcLbpjobmoOVoOXPd6y']",0.608,0.447,6,-12.151,0.0663,0.335,3.51e-05,0.169,0.673,90.777,"2007","03","21"
16082,"愛唄~since 2007~",42,242373,"['whiteeeen']","['6v3VFX2qIWthj4Lr5QIxts']",0.572,0.782,8,-5.275,0.0361,0.306,0,0.374,0.45,170.05,"2016","03","09"
14585,"Let me be your uncle tonight",12,202989,"['Tvíhöfði']","['6rmrk3Jk0Ecf8fjioCCZmV']",0.855,0.47,7,-9.252,0.162,0.0111,2.06e-06,0.264,0.864,102.008,"2001","01","01"
14740,"Never Going Back Again - 2004 Remaster",40,134400,"['Fleetwood Mac']","['08GQAI4eElDnROBrJRGE0X']",0.654,0.336,6,-12.825,0.0379,0.858,0.385,0.0786,0.947,176.083,"1977","02","04"
9385,"Lilla snigel",39,47400,"['Barnkören']","['4X0BpBJuYOsmpNXNp3TVRR']",0.578,0.132,0,-18.523,0.0491,0.865,0.0587,0.139,0.195,112.204,"1993","04","25"
12318,"Meu Lugar",51,292907,"['Arlindo Cruz']","['096an3uS6ZaK2XySae6SqP']",0.605,0.542,0,-7.849,0.038,0.68,0,0.141,0.633,147.955,"2007","10","22"
24098,"Khalifa",58,256973,"['Alex Rose', 'Almighty']","['2DspEsT7UXGKd2VaaedgG4', '6P6GTRTigHBp8ZesNtpCKH']",0.595,0.663,4,-5.755,0.0931,0.225,0,0.335,0.28,130.982,"2019","02","08"
29489,"From Four Until Late",10,145827,"['Robert Johnson']","['0f8MDDzIc6M4uH1xH0o0gy']",0.751,0.167,0,-11.949,0.0474,0.961,2.58e-05,0.165,0.569,108.514,"1936",NA,NA
9166,"Riders On the Storm",48,259107,"['Yonderboi']","['4hi7BCJEn3xCR3VRZU1Ek7']",0.799,0.83,4,-7.107,0.0364,0.208,0.77,0.0997,0.667,105.999,"2000","02","21"
6844,"LOVE&HONESTY",27,280800,"['BoA']","['4muJrGMndyYWqZtfk8OWy4']",0.708,0.662,3,-4.882,0.0313,0.027,0,0.189,0.39,126.998,"2004","01","15"
7946,"Je viens du sud",42,243200,"['Michel Sardou']","['0krCd0zVANPv9ryri4T0TO']",0.22,0.393,7,-11.626,0.031,0.609,1.51e-06,0.378,0.258,82.006,"2004","01","01"
4199,"Forever & Always - Piano Version",55,267507,"['Taylor Swift']","['06HL4z0CvFAxyc27GXpf02']",0.592,0.16,9,-10.785,0.0347,0.852,0,0.116,0.294,118.929,"2008","11","11"
19604,"Living Bad Dreams",38,321667,"['Judas Priest']","['2tRsMl4eGxwoNabM08Dm4I']",0.414,0.694,0,-5.951,0.0327,0.0398,0.000483,0.161,0.072,114.103,"1990","09","26"
26902,"III Ways to Epica",9,376560,"['Kamelot']","['7gTbq5nTZGQIUgjEGXQpOS']",0.331,0.908,11,-5.563,0.11,0.000672,0.000566,0.396,0.231,174.883,"2016","05","13"
13706,"Blåvita flingor",26,164667,"['Doktor Kosmos']","['1n14d4zMN8otdsf3PU0krI']",0.593,0.689,5,-4.8,0.0488,0.775,2.77e-06,0.0898,0.963,153.918,"1995","01","01"
29341,"Vielä yhdet",6,141067,"['Irwin Goodman']","['2tHIsowfInSrlyGfsOKwvE']",0.497,0.638,5,-12.451,0.0383,0.218,1.22e-06,0.524,0.926,86.828,"1972",NA,NA
2476,"語りつぐ愛に",30,251227,"['Hiroko Yakushimaru']","['1QXFMGfCga8qSyUtVmjXrE']",0.715,0.563,1,-11.74,0.0276,0.602,2.33e-05,0.33,0.617,120.886,"1989",NA,NA
18639,"Uranus",56,240187,"['PNL']","['3NH8t45zOTqzlZgBvZRjvB']",0.625,0.575,0,-10.557,0.074,0.577,0.106,0.0994,0.396,92.028,"2016","09","16"
22055,"Liberdade Pra Dentro Da Cabeça",47,287427,"['Natiruts']","['4PhdYoQGH8s1xee81dqQOO']",0.664,0.428,9,-8.488,0.0777,0.0294,0,0.249,0.651,134.118,"1998","01","05"
15494,"Early Blue",35,184589,"['F. J. McMahon']","['5sdXP8axwZ2P3SZ0firqoL']",0.706,0.394,0,-12.66,0.0275,0.769,0.0327,0.117,0.7,92.449,"1969","02","28"
9939,"Ojos Así",65,235733,"['Shakira']","['0EmeFodog0BfCgMzAIvKQp']",0.717,0.952,6,-4.902,0.0481,0.15,0,0.166,0.665,126.993,"1998","09","29"
11363,"Petit Madame",6,177440,"['TIN TAN Y MARCELO']","['329jSyGubpAb5CEw6IE0Ix']",0.39,0.397,11,-8.735,0.0769,0.943,0,0.355,0.307,48.433,"1948",NA,NA
27117,"Big Things",46,33401,"['Dancehall']","['1dxAlsLikcqFQ8GYVODcKk']",0.841,0.56,2,-9.14,0.0495,0.0831,0.000323,0.0851,0.569,86.165,"2020","04","03"
25693,"Mamă, Mamă",28,144787,"['Spike']","['6JDu6pr6teBn79KqBTOXdp']",0.478,0.666,7,-4.961,0.412,0.101,0,0.291,0.672,215.511,"2015","05","29"
21502,"UNDER Your Sky",19,264433,"['globe']","['5O6t6gb6MeNqzOBAq1oLad']",0.673,0.933,9,-4.263,0.0622,0.0204,0.0135,0.163,0.557,109.894,"1998","03","31"
13294,"奇妙的水聲",20,137080,"['蔡榮吉', '吳爾笠', '張方瑜', '陳姿妤']","['4ZSjPS92VlMAl76LII4QGU', '3hAug8Ksw0xBepMo20ukYO', '1ztb8iVxMODokPS4gbThd8', '6J6u9CisDJob0A0d5G9ZXR']",0.938,0.495,5,-7.279,0.0356,0.0515,0.188,0.0984,0.6,122.927,"1987","10","01"
25541,"Moses Supposes",12,172253,"['Gene Kelly', 'Donald O´Connor']","['1mhlGWeiNrWnhJJc2EufYk', '1yEfnpGYltiMGUHBFGcP9O']",0.416,0.786,0,-4.757,0.224,0.811,1.11e-06,0.283,0.76,95.759,"1952",NA,NA
11939,"This Year's Kisses - 2010 Remastered Version",0,187853,"['Billie Holiday']","['1YzCsTRb22dQkh9lghPIrp']",0.685,0.31,7,-9.274,0.0361,0.827,2.02e-06,0.109,0.683,109.809,"2010","10","25"
18897,"Dil Ka Paimana Hain",1,195067,"['Rajkumari']","['1MmP6hxFlp8Wfv6afPqXRN']",0.674,0.111,1,-18.252,0.0704,0.995,0.941,0.138,0.789,62.448,"1952","12","01"
6737,"The Galway Shawl",39,269219,"['Finbar Furey']","['72qs8dHxUfn7lB9cYxQvIF']",0.461,0.355,2,-10.337,0.0274,0.416,0.000122,0.0702,0.358,82.5,"2017","01","20"
14498,"Kesäyö",5,160960,"['Vieno Kekkonen']","['6EyEMTpuTeqNIg9KuJoTld']",0.281,0.239,7,-9.995,0.0306,0.962,0.000127,0.229,0.292,86.105,"1959",NA,NA
19254,"The Supremes - Original Album Track",28,401000,"['Stars On 45']","['4r8b3Hr0AMhzhAg75le0Gx']",0.487,0.784,1,-6.596,0.111,0.182,1.16e-06,0.416,0.723,122.371,"1984",NA,NA
18999,"Frosty The Snowman",49,131733,"['Ella Fitzgerald']","['5V0MlUE1Bft0mbLlND7FJz']",0.579,0.502,8,-7.57,0.0513,0.733,0,0.281,0.836,76.816,"1960","01","01"
13855,"ฟัง",3,262226,"['SIN', 'Ohm Cocktail']","['3ubzA3oelaUG8pvmDqftyf', '0Iq3RjRCQz2wGKoPzmRdfq']",0.652,0.491,7,-9.539,0.04,0.494,9.31e-05,0.129,0.347,89.018,"2018","12","06"
23116,"Det svarta guldet, del 27",22,114013,"['Tintin', 'Tomas Bolme', 'Bert-Åke Varg']","['6aMD1KAa5i3Myy61cR8FiW', '7HjbJ8V87zrxkSzL1KieQk', '71ADe4Zg9UyE8WQEHbJSXM']",0.714,0.432,6,-17.837,0.951,0.787,0,0.592,0.616,121.876,"1980","06","26"
16489,"Bez słów",47,217373,"['The Dumplings']","['1nEmAvnOKMBYCziZQNb5B4']",0.744,0.752,4,-5.938,0.124,0.0176,0.000119,0.662,0.377,90.993,"2019","06","14"
3732,"Nearness of You",6,242350,"['Don Shirley']","['28gtOMHE3YD9uDR3ht6E0x']",0.231,0.201,8,-14.389,0.0325,0.993,0.881,0.109,0.075,68.414,"1959","04","08"
13690,"French Suite No. 5 in G Major, BWV 816: III. Sarabande",17,171867,"['Johann Sebastian Bach', 'Glenn Gould']","['5aIqB5nVVvmFsvSdExz408', '13dkPjqmbcchm8cXjEJQeP']",0.512,0.0855,7,-24.313,0.0513,0.995,0.941,0.152,0.532,126.661,"1974",NA,NA
761,"Apni Azadi Ko Hum",4,278067,"['Mohammed Rafi']","['0gXDpqwYNDODn7fB0RDN8J']",0.396,0.706,3,-9.021,0.0495,0.969,0.00129,0.124,0.787,148.199,"1964","01","01"
28198,"Uniform of Youth",30,266027,"['Mr. Mister']","['7Bah8E0kCETqEpAHI6CPzQ']",0.519,0.664,2,-12.178,0.0273,0.00809,0.000458,0.247,0.524,99.071,"1985","11","27"
29522,"Ámame Hasta Que Me Muera",48,269725,"['Maná']","['7okwEbXzyT2VffBmyQBWLz']",0.655,0.956,11,-5.259,0.0416,0.228,0.00194,0.116,0.815,101.142,"1997","10","10"
11706,"Latin Piano - Original Mix",0,435000,"['Marcus Hype']","['49S5N4Qw9e719ThFIgGVQu']",0.596,0.995,4,-3.82,0.0586,0.0401,0.885,0.0633,0.362,127.984,"2014","12","08"
2542,"Boots Or Hearts",42,224440,"['The Tragically Hip']","['0YMeriqrS3zgsX24nfY0F0']",0.879,0.515,7,-12.243,0.0513,0.027,0,0.0736,0.842,120.973,"1989","01","01"
4019,"Stop Callin' Me",41,218493,"['Shakaya']","['2oRTd2N9vKFAceSCA757KY']",0.786,0.726,0,-5.852,0.0543,0.202,0,0.103,0.957,88.998,"2002","10","18"
6609,"Walls To Build - Mall Grab Remix",53,376079,"['Kllo', 'Mall Grab']","['0RDC2Krd2nmqseGx5C8PQz', '7yF6JnFPDzgml2Ytkyl5D7']",0.83,0.403,10,-11.36,0.0451,0.136,0.816,0.109,0.4,124.001,"2016",NA,NA
5177,"Ramya Asha Sthani",4,204893,"['Lata Mangeshkar']","['61JrslREXq98hurYL2hYoc']",0.29,0.163,2,-18.981,0.0374,0.981,0.872,0.0935,0.591,130.444,"1961","12","31"
28873,"Pana La Tine",44,201300,"['Smiley']","['3gvNMbcnvmnjGaG6hvJfSH']",0.681,0.522,3,-9.206,0.0693,0.375,0,0.146,0.334,93.004,"2021","03","12"
21511,"Pasta Flora",21,255013,"['Monsieur Minimal']","['530wyaQMvivGiC0P00MUml']",0.628,0.742,2,-10.612,0.0319,0.392,0.00757,0.131,0.659,150.02,"2010","06","07"
2710,"Frøken",38,246693,"['Gunslingers']","['22qynacaVX8ZxSwS2uTJkX']",0.635,0.777,1,-6.421,0.0302,0.236,6.33e-05,0.0487,0.714,135.1,"2011","06","20"
13195,"Saraasaraangal",0,168680,"['M. K. Thyagaraja Bhagavathar']","['64LJVsjBP6bkbacv9SmepY']",0.635,0.467,6,-9.689,0.0519,0.8,0.185,0.0911,0.926,112.849,"1939","12","31"
27057,"Instrumental",18,67227,"['The Dubliners']","['72RvmgEg2omdlMV9aExO6a']",0.612,0.65,2,-13.232,0.0633,0.932,0.89,0.121,0.973,122.128,"1964","01","01"
25531,"I'd Rather Go Blind",40,486773,"['Joe Bonamassa', 'Beth Hart']","['2SNzxY1OsSCHBLVi77mpPQ', '30TrHDLNCKQVTYWOn9QqOC']",0.344,0.592,9,-7.309,0.0343,0.278,0.000442,0.286,0.346,112.471,"2011","09","26"
13567,"Breeze - Radio",0,172090,"['Patrick Aurelle']","['0oJ0NhXYOMIvoOLWj6B4dI']",0.663,0.752,5,-5.751,0.0334,0.23,0.000203,0.158,0.371,128.007,"2017","01","30"
