CASENO,OFFENSE,EVENTDT,EVENTTM,CVLEGEND,CVDOW,InDbDate,Block_Location,BLKADDR,City,State
19043288,SEXUAL ASSAULT FEL.,08/02/2019 12:00:00 AM,12:00,SEX CRIME,5,09/14/2020 07:00:09 AM,"0 UNKNOWN
Berkeley, CA",0 UNKNOWN,Berkeley,CA
19092424,THEFT MISD. (UNDER $950),11/03/2019 12:00:00 AM,20:10,LARCENY,0,09/14/2020 07:00:12 AM,"DURANT AVE
Berkeley, CA",DURANT AVE,Berkeley,CA
19039736,DISTURBANCE,07/21/2019 12:00:00 AM,04:30,DISORDERLY CONDUCT,0,09/14/2020 07:00:08 AM,"300 CANYON RD
Berkeley, CA",300 CANYON RD,Berkeley,CA
19092062,BURGLARY AUTO,09/28/2019 12:00:00 AM,07:25,BURGLARY - VEHICLE,6,09/14/2020 07:00:11 AM,"SPINNAKER WAY
Berkeley, CA",SPINNAKER WAY,Berkeley,CA
19092648,VANDALISM,11/26/2019 12:00:00 AM,22:00,VANDALISM,2,09/14/2020 07:00:12 AM,"1200 HOPKINS ST
Berkeley, CA
(37.876428, -122.291736)",1200 HOPKINS ST,Berkeley,CA
19060206,THEFT MISD. (UNDER $950),10/23/2019 12:00:00 AM,15:10,LARCENY,3,09/14/2020 07:00:11 AM,"1400 SHATTUCK AV
Berkeley, CA
(37.881957, -122.269551)",1400 SHATTUCK AV,Berkeley,CA
19041116,THEFT MISD. (UNDER $950),07/27/2019 12:00:00 AM,22:00,LARCENY,6,09/14/2020 07:00:08 AM,"2800 ADELINE ST
Berkeley, CA
(37.858116, -122.268002)",2800 ADELINE ST,Berkeley,CA
19092871,BURGLARY AUTO,12/18/2019 12:00:00 AM,10:30,BURGLARY - VEHICLE,3,09/14/2020 07:00:13 AM,"1000 GILMAN ST
Berkeley, CA
(37.88014, -122.297498)",1000 GILMAN ST,Berkeley,CA
19067880,VEHICLE STOLEN,11/29/2019 12:00:00 AM,20:30,MOTOR VEHICLE THEFT,5,09/14/2020 07:00:12 AM,"800 SAN DIEGO RD
Berkeley, CA
(37.894692, -122.272265)",800 SAN DIEGO RD,Berkeley,CA
19049153,ARSON,09/02/2019 12:00:00 AM,00:02,ARSON,1,09/14/2020 07:00:10 AM,"CALIFORNIA STREET & 63RD ST
Berkeley, CA
(37.847262, -122.275622)",CALIFORNIA STREET & 63RD ST,Berkeley,CA
